Mount,Panel,Top/Shape,Material,Type,Size,Handing,Finish Texture,Panel Style,Hinge Finish,Casing Finish,Casing Profile,,Stock Item Number,Lowes Stock Item Number,New Number
Pre-hung,1 Panel,,Molded,,24,LH,,PFJ,NCSG,BL,,,5509473,1170066,
Pre-hung,1 Panel,,Molded,,24,RH,,PFJ,NCSG,BL,,,5509448,1169407,
Pre-hung,1 Panel,,Molded,,28,LH,,PFJ,NCSG,BL,,,5509441,1170129,
Pre-hung,1 Panel,,Molded,,28,RH,,PFJ,NCSG,BL,,,5509446,1168738,
Pre-hung,1 Panel,,Molded,,30,LH,,PFJ,NCSG,BL,,,5509474,1169429,
Pre-hung,1 Panel,,Molded,,30,RH,,PFJ,NCSG,BL,,,5509476,1170120,
Pre-hung,1 Panel,,Molded,,32,LH,,PFJ,NCSG,BL,,,5509352,1169263,
Pre-hung,1 Panel,,Molded,,32,RH,,PFJ,NCSG,BL,,,5509466,1169508,
Pre-hung,1 Panel,,Molded,,36,LH,,PFJ,NCSG,BL,,,5509468,1168730,
Pre-hung,1 Panel,,Molded,,36,RH,,PFJ,NCSG,BL,,,5509459,1168776,
Pre-hung,1 Panel,,Molded,,453,LH,,PFJ,BL,,,,5509436,#REF!,
Pre-hung,1 Panel,,Molded,,453,RH,,PFJ,BL,,,,5509471,#REF!,
Pre-hung,1 Panel,,Molded,,453,LH,,PFJ,BL,,,,5509452,#REF!,
Pre-hung,1 Panel,,Molded,,453,RH,,PFJ,BL,,,,5509440,#REF!,
Pre-hung,1 Panel,,Molded,,453,LH,,PFJ,BL,,,,5509437,1170139,
Pre-hung,1 Panel,,Molded,,453,RH,,PFJ,BL,,,,5509470,1168771,
Pre-hung,1 Panel,,Molded,,453,LH,,PFJ,BL,,,,5509467,1168724,
Pre-hung,1 Panel,,Molded,,453,RH,,PFJ,BL,,,,5509462,1168773,
Pre-hung,1 Panel,,Molded,,453,LH,,PFJ,BL,,,,5509454,1168775,
Pre-hung,1 Panel,,Molded,,453,RH,,PFJ,BL,,,,5509445,1170140,
Pre-hung,Panel,Shaker,Wood Stile Rail,1 and,24,LH,,PFJ,NCSG,BL,,,5509475,1170118,
Pre-hung,Panel,Shaker,Wood Stile Rail,1 and,24,RH,,PFJ,NCSG,BL,,,5509453,1168800,
Pre-hung,Panel,Shaker,Wood Stile Rail,1 and,28,LH,,PFJ,NCSG,BL,,,5509465,1169246,
Pre-hung,Panel,Shaker,Wood Stile Rail,1 and,28,RH,,PFJ,NCSG,BL,,,5509469,1168728,
Pre-hung,Panel,Shaker,Wood Stile Rail,1 and,30,LH,,PFJ,NCSG,BL,,,5509443,1170145,
