Door Style,Product Category,Size,Handing,Jamb,Casing,Hinges,Current Lowe's Stock Item Number,Lowe's Pro Stock Item Number,Image,Item Description,Full Description
1 Panel Molded,Slab,24,No Bore,No Jamb,No Casing,No Hinges,5509342,1170119,images/1pShaker.jpg,PROW 24 1PSQ MLD SM HC SLAB,1 Panel Molded Flat-Hollow core - Slab
1 Panel Molded,Slab,28,No Bore,No Jamb,No Casing,No Hinges,5509353,1169232,images/1pShaker.jpg,PROW 28 1PSQ MLD SM HC SLAB,1 Panel Molded Flat-Hollow core - Slab
1 Panel Molded,Slab,30,No Bore,No Jamb,No Casing,No Hinges,5509346,1169259,images/1pShaker.jpg,PROW 30 1PSQ MLD SM HC SLAB,1 Panel Molded Flat-Hollow core - Slab
1 Panel Molded,Slab,32,No Bore,No Jamb,No Casing,No Hinges,5509338,1169276,images/1pShaker.jpg,PROW 32 1PSQ MLD SM HC SLAB,1 Panel Molded Flat-Hollow core - Slab
1 Panel Molded,Slab,36,No Bore,No Jamb,No Casing,No Hinges,5509336,1168731,images/1pShaker.jpg,PROW 36 1PSQ MLD SM HC SLAB,1 Panel Molded Flat-Hollow core - Slab
1 Panel Molded,Bi-fold,24,No Bore,No Jamb,No Casing,No Hinges,5509337,1168793,,PROW 24 1P MLD HC Bi-Fold,1 Panel Flat Molded-Hollow core - Bi-fold
1 Panel Molded,Bi-fold,30,No Bore,No Jamb,No Casing,No Hinges,5509349,1170141,,PROW 30 1P MLD HC Bi-Fold,1 Panel Flat Molded-Hollow core - Bi-fold
1 Panel Molded,Bi-fold,36,No Bore,No Jamb,No Casing,No Hinges,5509343,1170126,,PROW 36 1P MLD HC Bi-Fold,1 Panel Flat Molded-Hollow core - Bi-fold
1 Panel Molded,Single Pre-hung,24,LH,Flat Jamb,No Casing,Black Hinges,5509473,1170066,,PROW 24 1P MLD HC LH PFJ NCSG BL,1-Panel Molded Flat Hollow core-Single Prehung-Flat Jamb -No casing-Black hinges
1 Panel Molded,Single Pre-hung,24,RH,Flat Jamb,No Casing,Black Hinges,5509448,1169407,,PROW 24 1P MLD HC RH PFJ NCSG BL,1-Panel Molded Flat Hollow core-Single Prehung-Flat Jamb -No casing-Black hinges
1 Panel Molded,Single Pre-hung,28,LH,Flat Jamb,No Casing,Black Hinges,5509441,1170129,,PROW 28 1P MLD HC LH PFJ NCSG BL,1-Panel Molded Flat Hollow core-Single Prehung-Flat Jamb -No casing-Black hinges
1 Panel Molded,Single Pre-hung,28,RH,Flat Jamb,No Casing,Black Hinges,5509446,1168738,,PROW 28 1P MLD HC RH PFJ NCSG BL,1-Panel Molded Flat Hollow core-Single Prehung-Flat Jamb -No casing-Black hinges
1 Panel Molded,Single Pre-hung,30,LH,Flat Jamb,No Casing,Black Hinges,5509474,1169429,,PROW 30 1P MLD HC LH PFJ NCSG BL,1-Panel Molded Flat Hollow core-Single Prehung-Flat Jamb -No casing-Black hinges
1 Panel Molded,Single Pre-hung,30,RH,Flat Jamb,No Casing,Black Hinges,5509476,1170120,,PROW 30 1P MLD HC RH PFJ NCSG BL,1-Panel Molded Flat Hollow core-Single Prehung-Flat Jamb -No casing-Black hinges
1 Panel Molded,Single Pre-hung,32,LH,Flat Jamb,No Casing,Black Hinges,5509352,1169263,,PROW 32 1P MLD HC LH PFJ NCSG BL,1-Panel Molded Flat Hollow core-Single Prehung-Flat Jamb -No casing-Black hinges
1 Panel Molded,Single Pre-hung,32,RH,Flat Jamb,No Casing,Black Hinges,5509466,1169508,,PROW 32 1P MLD HC RH PFJ NCSG BL,1-Panel Molded Flat Hollow core-Single Prehung-Flat Jamb -No casing-Black hinges
1 Panel Molded,Single Pre-hung,36,LH,Flat Jamb,No Casing,Black Hinges,5509468,1168730,,PROW 36 1P MLD HC LH PFJ NCSG BL,1-Panel Molded Flat Hollow core-Single Prehung-Flat Jamb -No casing-Black hinges
1 Panel Molded,Single Pre-hung,36,RH,Flat Jamb,No Casing,Black Hinges,5509459,1168776,,PROW 36 1P MLD HC RH PFJ NCSG BL,1-Panel Molded Flat Hollow core-Single Prehung-Flat Jamb -No casing-Black hinges
1 Panel Molded,Single Pre-hung,24,LH,Flat Jamb,453,Black Hinges,5509452,1169264,,PROW 24 1P MLD HC LH PFJ 453 BL,1-Panel Molded Flat Hollow core-Single Prehung-Split Jamb-453 casing-Black hinges
1 Panel Molded,Single Pre-hung,24,RH,Flat Jamb,453,Black Hinges,5509471,1168794,,PROW 24 1P MLD HC RH PFJ 453 BL,1-Panel Molded Flat Hollow core-Single Prehung-Split Jamb-453 casing-Black hinges
1 Panel Molded,Single Pre-hung,28,LH,Flat Jamb,453,Black Hinges,5509436,1168802,,PROW 28 1P MLD HC LH PFJ 453 BL,1-Panel Molded Flat Hollow core-Single Prehung-Split Jamb-453 casing-Black hinges
1 Panel Molded,Single Pre-hung,28,RH,Flat Jamb,453,Black Hinges,5509440,1169253,,PROW 28 1P MLD HC RH PFJ 453 BL,1-Panel Molded Flat Hollow core-Single Prehung-Split Jamb-453 casing-Black hinges
1 Panel Molded,Single Pre-hung,30,LH,Flat Jamb,453,Black Hinges,5509437,1170139,,PROW 30 1P MLD HC LH PFJ 453 BL,1-Panel Molded Flat Hollow core-Single Prehung-Split Jamb-453 casing-Black hinges
1 Panel Molded,Single Pre-hung,30,RH,Flat Jamb,453,Black Hinges,5509470,1168771,,PROW 30 1P MLD HC RH PFJ 453 BL,1-Panel Molded Flat Hollow core-Single Prehung-Split Jamb-453 casing-Black hinges
1 Panel Molded,Single Pre-hung,32,LH,Flat Jamb,453,Black Hinges,5509467,1168724,,PROW 32 1P MLD HC LH PFJ 453 BL,1-Panel Molded Flat Hollow core-Single Prehung-Split Jamb-453 casing-Black hinges
1 Panel Molded,Single Pre-hung,32,RH,Flat Jamb,453,Black Hinges,5509462,1168773,,PROW 32 1P MLD HC RH PFJ 453 BL,1-Panel Molded Flat Hollow core-Single Prehung-Split Jamb-453 casing-Black hinges
1 Panel Molded,Single Pre-hung,36,LH,Flat Jamb,453,Black Hinges,5509454,1168775,,PROW 36 1P MLD HC LH PFJ 453 BL,1-Panel Molded Flat Hollow core-Single Prehung-Split Jamb-453 casing-Black hinges
1 Panel Molded,Single Pre-hung,36,RH,Flat Jamb,453,Black Hinges,5509445,1170140,,PROW 36 1P MLD HC RH PFJ 453 BL,1-Panel Molded Flat Hollow core-Single Prehung-Split Jamb-453 casing-Black hinges
1 Panel Shaker,Single Pre-hung,24,LH,Flat Jamb,No Casing,Black Hinges,5509475,1170118,,PROW 24 1P WSR LH PFJ NCSG BL,1 Panel Shaker Wood Stile and Rail-Solid core-Flat Jamb- No casing-Black hinges
1 Panel Shaker,Single Pre-hung,24,RH,Flat Jamb,No Casing,Black Hinges,5509453,1168800,,PROW 24 1P WSR RH PFJ NCSG BL,1 Panel Shaker Wood Stile and Rail-Solid core-Flat Jamb- No casing-Black hinges
1 Panel Shaker,Single Pre-hung,28,LH,Flat Jamb,No Casing,Black Hinges,5509465,1169246,,PROW 28 1P WSR LH PFJ NCSG BL,1 Panel Shaker Wood Stile and Rail-Solid core-Flat Jamb- No casing-Black hinges
1 Panel Shaker,Single Pre-hung,28,RH,Flat Jamb,No Casing,Black Hinges,5509469,1168728,,PROW 28 1P WSR RH PFJ NCSG BL,1 Panel Shaker Wood Stile and Rail-Solid core-Flat Jamb- No casing-Black hinges
1 Panel Shaker,Single Pre-hung,30,LH,Flat Jamb,No Casing,Black Hinges,5509443,1170145,,PROW 30 1P WSR LH PFJ NCSG BL,1 Panel Shaker Wood Stile and Rail-Solid core-Flat Jamb- No casing-Black hinges
1 Panel Shaker,Single Pre-hung,30,RH,Flat Jamb,No Casing,Black Hinges,5509354,1168772,,PROW 30 1P WSR RH PFJ NCSG BL,1 Panel Shaker Wood Stile and Rail-Solid core-Flat Jamb- No casing-Black hinges
1 Panel Shaker,Single Pre-hung,32,LH,Flat Jamb,No Casing,Black Hinges,5509464,1169272,,PROW 32 1P WSR LH PFJ NCSG BL,1 Panel Shaker Wood Stile and Rail-Solid core-Flat Jamb- No casing-Black hinges
1 Panel Shaker,Single Pre-hung,32,RH,Flat Jamb,No Casing,Black Hinges,5509460,1169271,,PROW 32 1P WSR RH PFJ NCSG BL,1 Panel Shaker Wood Stile and Rail-Solid core-Flat Jamb- No casing-Black hinges
1 Panel Shaker,Single Pre-hung,36,LH,Flat Jamb,No Casing,Black Hinges,5509456,1170148,,PROW 36 1P WSR LH PFJ NCSG BL,1 Panel Shaker Wood Stile and Rail-Solid core-Flat Jamb- No casing-Black hinges
1 Panel Shaker,Single Pre-hung,36,RH,Flat Jamb,No Casing,Black Hinges,5509449,1170146,,PROW 36 1P WSR RH PFJ NCSG BL,1 Panel Shaker Wood Stile and Rail-Solid core-Flat Jamb- No casing-Black hinges
1 Panel Molded,Bi-hinge (French Door),48,No Bore,Flat Jamb,No Casing,Black hinges with Ball catches,NA,5738377,,48 PRO 1P MLD-F HC PFJ BC BL NCSG,1 Panel Molded Flat Hollow core Bi-hinge-Flat Jamb - No casing-Black hinges with Ball catches
1 Panel Molded,Bi-hinge (French Door),60,No Bore,Flat Jamb,No Casing,Black hinges with Ball catches,NA,5738376,,60 PRO IP MLD-FHC PFJ BC BL NCSG,1 Panel Molded Flat Hollow core Bi-hinge-Flat Jamb - No casing-Black hinges with Ball catches
1 Panel Molded,Bi-hinge (French Door),72,No Bore,Flat Jamb,No Casing,Black hinges with Ball catches,NA,5738373,,72 PRO 1P MLD-FHC PFJ BC BL NCSG,1 Panel Molded Flat Hollow core Bi-hinge-Flat Jamb - No casing-Black hinges with Ball catches
1 Panel Shaker,Bi-hinge (French Door),48,No Bore,Flat Jamb,No Casing,Black Hinges,NA,5738327,,48 PRO 1P WSR-F PFJ BC BL NCSG,1 Panel Wood Stile and Rail-Solid core-Bi-hinge-Flat Jamb -No casing-with Ball catches - Black Hinges
1 Panel Shaker,Bi-hinge (French Door),60,No Bore,Flat Jamb,No Casing,Black Hinges,NA,5738326,,60 PRO 1P WSR-F PFJ BC BL NCSG,1 Panel Wood Stile and Rail-Solid core-Bi-hinge-Flat Jamb -No casing-with Ball catches - Black Hinges
1 Panel Shaker,Bi-hinge (French Door),72,No Bore,Flat Jamb,No Casing,Black Hinges,NA,5738325,,72 PRO 1P WSR-F PFJ BC BL NCSG,1 Panel Wood Stile and Rail-Solid core-Bi-hinge-Flat Jamb -No casing-with Ball catches - Black Hinges
1 Panel Molded,Bi-hinge (French Door),48,No Bore,Split Jamb,453,Black hinges with Ball catches,NA,5738378,,48 PRO 1P MLD-F HC PFJ BC BL 453,1 Panel Molded Flat Hollow core Bi-hinge-Split Jamb- 453 casing-Black hinges with Ball catches
1 Panel Molded,Bi-hinge (French Door),60,No Bore,Split Jamb,453,Black hinges with Ball catches,NA,5738375,,60 PRO 1P MLD-F HC PFJ BC BL 453,1 Panel Molded Flat Hollow core Bi-hinge-Split Jamb- 453 casing-Black hinges with Ball catches
1 Panel Molded,Bi-hinge (French Door),72,No Bore,Split Jamb,453,Black hinges with Ball catches,NA,5738374,,72 PRO 1P MLD-F HC PFJ BC BL 453,1 Panel Molded Flat Hollow core Bi-hinge-Split Jamb- 453 casing-Black hinges with Ball catches
1 Panel Shaker,Slab,24,No Bore,Wood Style & Rail,No Casing,No Hinges,5510789,1168796,,PROW 24 1P WSR No BORE SLAB,1 Panel Shaker Wood Style and Rail-Solid Core Slab
1 Panel Shaker,Slab,28,No Bore,Wood Style & Rail,No Casing,No Hinges,5510791,1168805,,PROW 28 1P WSR NO BORE SLAB,1 Panel Shaker Wood Style and Rail-Solid Core Slab
