Program,Material,Core_Type,Style,Finish_Texture,Glass_Info,Configuration,Size_Width_in,Size_Height_in,Handing,Jamb_Type,Jamb_Casing,Hinge_Finish,Special_Features,Bore_Status,Original_Description,Current_Stock_Item_Number,Lowe's_Pro_Stock_Item_Number
Exterior Pro Program,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,30,80,Left-Hand,Double Bore,,,,Bored,"30 6-PANEL LH DB",5517541,5740266
Exterior Pro Program,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,30,80,Right-Hand,Double Bore,,,,Bored,"30 6-PANEL RH DB",5517550,5740250
Exterior Pro Program,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,32,80,Left-Hand,Double Bore,,,,Bored,"32 6-PANEL LH DB",5517555,5740241
Exterior Pro Program,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,32,80,Right-Hand,Double Bore,,,,Bored,"32 6-PANEL DB RH",5517554,5740286
Exterior Pro Program,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,36,80,Left-Hand,Double Bore,,,,Bored,"36 6-PANEL LH DB",5517540,5740270
Exterior Pro Program,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,36,80,Right-Hand,Double Bore,,,,Bored,"36 6-PANEL DB RH",5517544,5740253
Exterior Pro Program,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,32,80,Left-Hand,Double Bore - Outswing,,,,Bored,"32 6-PANEL DB LH OS",5517562,5740290
Exterior Pro Program,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,32,80,Right-Hand,Double Bore - Outswing,,,,Bored,"32 6-PANEL DB RH OS",5517542,5740247
Exterior Pro Program,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,36,80,Left-Hand,Double Bore - Outswing,,,,Bored,"36 6-PANEL DB LH OS",5517527,5740225
Exterior Pro Program,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,36,80,Right-Hand,Double Bore - Outswing,,,,Bored,"36 6-PANEL DB RH OS",5517535,5740232
Exterior Pro Program,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,36,80,Left-Hand,"Double Bore, 6-9/16""",,,Bored,"36 6-PANEL DB LH 6-9/16",5517531,5740242
Exterior Pro Program,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,36,80,Right-Hand,"Double Bore, 6-9/16""",,,Bored,"36 6-PANEL DB RH 6-9/16",5517526,5740287
