Program,Glass,Material,Core_Type,Style,Finish_Texture,Glass_Info,Configuration,Size_Width_in,Size_Height_in,Bore_Status,Handing,Jamb_Type,Jamb_Casing,Hinge_Finish,Special_Features,Original_Description,Current_Stock_Item_Number,Lowe's_Pro_Stock_Item_Number
Exterior Pro Program,,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,30.0,80.0,Bored,Left-Hand,Double Bore,,,,"30.0-inch x 80.0-inch Steel Solid Core door, featuring a 6 Panel design with a smooth finish (Single Prehung), Left Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517541.0,5740266
Exterior Pro Program,,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,30.0,80.0,Bored,Right-Hand,Double Bore,,,,"30.0-inch x 80.0-inch Steel Solid Core door, featuring a 6 Panel design with a smooth finish (Single Prehung), Right Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517550.0,5I740250
Exterior Pro Program,,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,32.0,80.0,Bored,Left-Hand,Double Bore,,,,"32.0-inch x 80.0-inch Steel Solid Core door, featuring a 6 Panel design with a smooth finish (Single Prehung), Left Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517555.0,5740241
Exterior Pro Program,,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,32.0,80.0,Bored,Right-Hand,Double Bore,,,,"32.0-inch x 80.0-inch Steel Solid Core door, featuring a 6 Panel design with a smooth finish (Single Prehung), Right Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517554.0,5740286
Exterior Pro Program,,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,36.0,80.0,Bored,Left-Hand,Double Bore,,,,"36.0-inch x 80.0-inch Steel Solid Core door, featuring a 6 Panel design with a smooth finish (Single Prehung), Left Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517540.0,5740270
Exterior Pro Program,,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,36.0,80.0,Bored,Right-Hand,Double Bore,,,,"36.0-inch x 80.0-inch Steel Solid Core door, featuring a 6 Panel design with a smooth finish (Single Prehung), Right Hand, bored, jamb type: Double Bore. Built for durability and style, perfect for enhancing your home's entryway.",5517544.0,5740253
Exterior Pro Program,,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,32.0,80.0,Bored,Left-Hand,Double Bore - Outswing,,,,"32.0-inch x 80.0-inch Steel Solid Core door, featuring a 6 Panel design with a smooth finish (Single Prehung), Left Hand, bored, jamb type: Double Bore - Outswing. Built for durability and style, perfect for enhancing your home's entryway.",5517562.0,5740290
Exterior Pro Program,,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,32.0,80.0,Bored,Right-Hand,Double Bore - Outswing,,,,"32.0-inch x 80.0-inch Steel Solid Core door, featuring a 6 Panel design with a smooth finish (Single Prehung), Right Hand, bored, jamb type: Double Bore - Outswing. Built for durability and style, perfect for enhancing your home's entryway.",5517542.0,5740247
Exterior Pro Program,,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,36.0,80.0,Bored,Left-Hand,Double Bore - Outswing,,,,"36.0-inch x 80.0-inch Steel Solid Core door, featuring a 6 Panel design with a smooth finish (Single Prehung), Left Hand, bored, jamb type: Double Bore - Outswing. Built for durability and style, perfect for enhancing your home's entryway.",5517527.0,5740225
Exterior Pro Program,,Steel,Solid Core,6 Panel,Smooth,,Single Prehung,36.0,80.0,Bored,Right-Hand,Double Bore - Outswing,,,,"36.0-inch x 80.0-inch Steel Solid Core door, featuring a 6 Panel design with a smooth finish (Single Prehung), Right Hand, bored, jamb type: Double Bore - Outswing. Built for durability and style, perfect for enhancing your home's entryway.",5517535.0,5740232
